id,on_street,cross_street,routes,routes_total,boardings,alightings,month_beginning,daytype,location
446,WASHINGTON,LASALLE,"19\,20\,56\,60\,129\,157",6,303.4,726.4,10/1/12,Weekday,"(41.88313700, -87.63262500)"
3255,63RD STREET,WESTERN,63,1,323.7,719.7,10/1/12,Weekday,"(41.77929499, -87.68337469)"
14116,MIDWAY TERMINAL,ORANGE LINE STATION,"63W\,165",2,620.5,719.2,10/1/12,Weekday,"(41.78632190, -87.73892387)"
1115,STATE,ADAMS,"2\,10\,29\,144\,145\,146\,147\,148\,151",9,1489.4,718.5,10/1/12,Weekday,"(41.87940141, -87.62760970)"
14118,MIDWAY TERMINAL,ORANGE LINE STATION,63,1,760.6,715.1,10/1/12,Weekday,"(41.78627355, -87.73897049)"
9419,87TH STREET,COTTAGE GROVE,87,1,506.9,715,10/1/12,Weekday,"(41.73656379, -87.60505254)"
14155,103RD STREET,STONY ISLAND GARAGE,"J14\,15\,28\,X28",4,652.1,712.2,10/1/12,Weekday,"(41.70849787, -87.58147092)"
454,MADISON,N. WACKER,"J14\,19\,20\,56\,60\,124\,157",7,344.3,711.8,10/1/12,Weekday,"(41.88196914, -87.63744347)"
2582,COTTAGE GROVE,79TH STREET,4,1,718.5,709.7,10/1/12,Weekday,"(41.75110449, -87.60535820)"
584,FAIRBANKS,HURON,"3\,66\,157",3,97.5,709.2,10/1/12,Weekday,"(41.89512700, -87.62037500)"
1147,STOCKTON,WRIGHTWOOD,"134\,143\,151\,156",4,47.3,708.6,10/1/12,Weekday,"(41.93131955, -87.63888361)"
2795,79TH STREET,STONY ISLAND,79,1,453.2,705.8,10/1/12,Weekday,"(41.75142764, -87.58489627)"
3437,63RD STREET,KING DRIVE,63,1,403.5,705.6,10/1/12,Weekday,"(41.78017641, -87.61571710)"
11005,LOGAN SQUARE,BLUE LINE STATION,76,1,459.9,702.7,10/1/12,Weekday,"(41.92989023, -87.70779771)"
2630,79TH STREET,COTTAGE GROVE,79,1,1367.3,701.8,10/1/12,Weekday,"(41.75135690, -87.60505167)"
4992,CLINTON,QUINCY,"7\,60\,124\,125\,126\,129\,130\,157",8,862.4,701.1,10/1/12,Weekday,"(41.87874100, -87.64117100)"
505,MADISON,CENTRAL,20,1,125.1,694.1,10/1/12,Weekday,"(41.88035703, -87.76469173)"
5637,IRVING PARK,BLUE LINE STATION,80,1,577.1,693.8,10/1/12,Weekday,"(41.95352972, -87.73014329)"
5881,HALSTED,GREEN LINE STATION,8,1,164.8,693.4,10/1/12,Weekday,"(41.77871179, -87.64464810)"
3245,63RD STREET,GREEN LINE STATION,63,1,467.3,693,10/1/12,Weekday,"(41.77881200, -87.66368300)"
2478,COTTAGE GROVE,79TH STREET,4,1,872.2,692.9,10/1/12,Weekday,"(41.75115870, -87.60510870)"
3442,63RD STREET,COTTAGE GROVE,63,1,392.5,692.6,10/1/12,Weekday,"(41.78034800, -87.60605600)"
2762,79TH STREET,HALSTED,79,1,834.6,689.6,10/1/12,Weekday,"(41.75057592, -87.64418787)"
1128,MICHIGAN,btwn DELAWARE & WALTON,"33\,143\,144\,145\,146\,147\,148\,151",8,1241.5,688,10/1/12,Weekday,"(41.89943500, -87.62400400)"
5229,JEFFERY,87TH STREET,"J14\,15",2,264.2,684.4,10/1/12,Weekday,"(41.73687335, -87.57580477)"
3229,63RD STREET,RED LINE STATION,63,1,1377.9,682.1,10/1/12,Weekday,"(41.78000777, -87.63089987)"
12582,ADDISON,BLUE LINE STATION,152,1,641.5,681.8,10/1/12,Weekday,"(41.94658820, -87.71841032)"
5006,MADISON,CANAL,"60\,124\,157",3,261.4,676,10/1/12,Weekday,"(41.88193682, -87.63902414)"
9092,PULASKI,MADISON,53,1,641.4,675.8,10/1/12,Weekday,"(41.88060612, -87.72557540)"
1744,DEVON,MAGNOLIA,"36\,151\,155",3,365.1,671,10/1/12,Weekday,"(41.99810212, -87.66161275)"
9101,PULASKI,CHICAGO,"53\,N66",2,440.7,669.3,10/1/12,Weekday,"(41.89524743, -87.72588840)"
14034,ELLIS,57TH STREET,"171\,172",2,72.5,663.9,10/1/12,Weekday,"(41.79129910, -87.60151084)"
5033,LAKE PARK,47TH STREET,"2\,6\,28\,X28",4,590.7,662.4,10/1/12,Weekday,"(41.80883902, -87.59158851)"
1006,PAULINA,HOWARD TERMINAL,147,1,558.5,661.9,10/1/12,Weekday,"(42.01781213, -87.67306705)"
1762,DEVON,CLARK,"36\,151\,155",3,397.5,661.4,10/1/12,Weekday,"(41.99814792, -87.67037124)"
4731,PULASKI,75TH PLACE,"53A\,67",2,141.5,659.5,10/1/12,Weekday,"(41.75693778, -87.72239065)"
2590,COTTAGE GROVE,87TH STREET,4,1,265.8,658.6,10/1/12,Weekday,"(41.73677467, -87.60496371)"
17697,79TH STREET,JEFFERY,79,1,676.2,654.7,10/1/12,Weekday,"(41.75153266, -87.57578455)"
11290,KIMBALL,CATALPA,82,1,69.6,650.9,10/1/12,Weekday,"(41.98111200, -87.71360900)"
14132,WESTERN,ORANGE LINE STATION,"48\,49",2,1182,649.9,10/1/12,Weekday,"(41.80495975, -87.68400546)"
10117,WESTERN,69TH STREET,"49\,67",2,271.1,648.7,10/1/12,Weekday,"(41.76814194, -87.68348863)"
10309,CICERO,NORTH AVENUE,54,1,321.5,647,10/1/12,Weekday,"(41.90944941, -87.74598264)"
4732,ADAMS,STATE,"1\,7\,X28\,126\,129\,130\,151",7,1225.1,646.9,10/1/12,Weekday,"(41.87950874, -87.62810530)"
17661,79TH STREET,ESSEX,79,1,72.4,644.9,10/1/12,Weekday,"(41.75170818, -87.56485160)"
3810,LAWRENCE,PULASKI,81,1,269.7,644.5,10/1/12,Weekday,"(41.96831306, -87.72790766)"
